Ensembl Gene ID	Ensembl Transcript ID	Description
ENSONIG00000000001	ENSONIT00000000001	PTPRF interacting protein, binding protein 1 (liprin beta 1) [Source:HGNC Symbol;Acc:HGNC:9249]
ENSONIG00000000001	ENSONIT00000000002	PTPRF interacting protein, binding protein 1 (liprin beta 1) [Source:HGNC Symbol;Acc:HGNC:9249]
ENSONIG00000000002	ENSONIT00000000003	cytochrome b5 reductase 3 [Source:ZFIN;Acc:ZDB-GENE-030131-3281]
ENSONIG00000000003	ENSONIT00000000004	synaptotagmin Ia [Source:ZFIN;Acc:ZDB-GENE-040718-165]
ENSONIG00000000004	ENSONIT00000000005	PRKC, apoptosis, WT1, regulator [Source:ZFIN;Acc:ZDB-GENE-041010-108]
ENSONIG00000000004	ENSONIT00000000006	PRKC, apoptosis, WT1, regulator [Source:ZFIN;Acc:ZDB-GENE-041010-108]
ENSONIG00000000005	ENSONIT00000000007	protein phosphatase 1, regulatory (inhibitor) subunit 12A [Source:ZFIN;Acc:ZDB-GENE-041011-3]
ENSONIG00000000006	ENSONIT00000000008	ribosomal protein S16 [Source:ZFIN;Acc:ZDB-GENE-050506-107]
ENSONIG00000000007	ENSONIT00000000009	myogenic factor 6 [Source:ZFIN;Acc:ZDB-GENE-040309-2]
ENSONIG00000000008	ENSONIT00000000010	guanylate cyclase activator 1A [Source:ZFIN;Acc:ZDB-GENE-011128-5]
ENSONIG00000000009	ENSONIT00000000011	golgi autoantigen, golgin subfamily b, macrogolgin (with transmembrane signal), 1 [Source:ZFIN;Acc:ZDB-GENE-030429-9]
ENSONIG00000000010	ENSONIT00000000012	hematopoietic cell-specific Lyn substrate 1 [Source:ZFIN;Acc:ZDB-GENE-030131-7191]
ENSONIG00000000010	ENSONIT00000000013	hematopoietic cell-specific Lyn substrate 1 [Source:ZFIN;Acc:ZDB-GENE-030131-7191]
ENSONIG00000000011	ENSONIT00000000014	LLP homolog, long-term synaptic facilitation (Aplysia) [Source:HGNC Symbol;Acc:HGNC:28229]
ENSONIG00000000012	ENSONIT00000000015	peroxisomal biogenesis factor 26 [Source:ZFIN;Acc:ZDB-GENE-030131-6584]
ENSONIG00000000013	ENSONIT00000000016	ubiquitin specific peptidase 41 [Source:HGNC Symbol;Acc:HGNC:20070]
ENSONIG00000000013	ENSONIT00000000017	ubiquitin specific peptidase 41 [Source:HGNC Symbol;Acc:HGNC:20070]
ENSONIG00000000014	ENSONIT00000000018	cyclin D2, b [Source:ZFIN;Acc:ZDB-GENE-050420-354]
ENSONIG00000000015	ENSONIT00000000019	chromosome 12 open reading frame 5 [Source:HGNC Symbol;Acc:HGNC:1185]
ENSONIG00000000016	ENSONIT00000000020	fibroblast growth factor 23 [Source:ZFIN;Acc:ZDB-GENE-050201-4]
ENSONIG00000000017	ENSONIT00000000021	fibroblast growth factor 6b [Source:ZFIN;Acc:ZDB-GENE-050201-5]
ENSONIG00000000018	ENSONIT00000000022	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 8b [Source:ZFIN;Acc:ZDB-GENE-041210-84]
ENSONIG00000000019	ENSONIT00000000023	exportin 1 (CRM1 homolog, yeast) a [Source:ZFIN;Acc:ZDB-GENE-050309-201]
ENSONIG00000000019	ENSONIT00000000024	exportin 1 (CRM1 homolog, yeast) a [Source:ZFIN;Acc:ZDB-GENE-050309-201]
ENSONIG00000000020	ENSONIT00000000025	cat eye syndrome chromosome region, candidate 1b [Source:ZFIN;Acc:ZDB-GENE-041210-77]
ENSONIG00000000021	ENSONIT00000000026	ATPase, H+ transporting, lysosomal, V1 subunit E isoform 1b [Source:ZFIN;Acc:ZDB-GENE-020419-11]
ENSONIG00000000022	ENSONIT00000000027	endonuclease domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29129]
ENSONIG00000000022	ENSONIT00000000028	endonuclease domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29129]
ENSONIG00000000023	ENSONIT00000000029	endonuclease domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29129]
ENSONIG00000000024	ENSONIT00000000030	endonuclease domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29129]
ENSONIG00000000025	ENSONIT00000000031	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000000031}  [Source:UniProtKB/TrEMBL;Acc:I3ITU2]
ENSONIG00000000026	ENSONIT00000000032	endonuclease domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29129]
ENSONIG00000000027	ENSONIT00000000033	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000000033}  [Source:UniProtKB/TrEMBL;Acc:I3ITU4]
ENSONIG00000000028	ENSONIT00000000034	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000000034}  [Source:UniProtKB/TrEMBL;Acc:I3ITU5]
ENSONIG00000000029	ENSONIT00000000035	chaperonin containing TCP1, subunit 4 (delta) [Source:ZFIN;Acc:ZDB-GENE-040426-1421]
